pref,code,handle,name_ja,population,status,source_type,granularity,core_missing,difficulty,license,yearend,district_unit,district_count_approx,schedule_url,calendar_urls,verify_sources,surveyed_at,notes
saitama,11212,higashimatsuyama,東松山市,91589,,pdf,dates,,3,unknown,unknown,地区,9,https://www.city.higashimatsuyama.lg.jp/site/gomi-recycle/1454.html,https://www.city.higashimatsuyama.lg.jp/uploaded/attachment/18150.pdf,site-search,2026-07-17,"一次候補「令和8年度資源とごみの分別収集計画表」= 地区別カレンダー型PDF群(No.1松山地区①〜No.9、 /uploaded/attachment/181xx.pdf)。18150.pdf はテキスト層あり(pdftotext可、町名リスト+日付入りカレンダー)。 各地区にA判表版とカレンダー型の2種。地区は9(松山①〜④・平野大谷松山・大岡平野松山・唐子・高坂高坂丘陵・野本)。 収集日検索ページ search.php はサーバ側PHPで駆動、HTMLソースに .csv/.json 参照なし(search-garbage.js はUIのみ) → 検索由来CSVは非公開。収集日オープンデータは未発見。年末年始扱いは未確認。
"
saitama,11214,kasukabe,春日部市,222659,,image-pdf,dates,,4,proprietary-site,december-announce,収集区(町丁目を12収集区に割当),12,https://www.city.kasukabe.lg.jp/benrinavi/shushubi/index.html,https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare1.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare2.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare3.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare4.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare5.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare6.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare7.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare8.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare9.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare10.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare11.pdf；https://www.city.kasukabe.lg.jp/material/files/group/32/R8gomikare12.pdf,kana-search-page,2026-07-17,"一次ソースは市内12収集区ごとの年度カレンダーPDF(R8gomikare1..12.pdf, 令和8年度)。 全て画像PDFでテキスト層なし(page毎0文字, 13ページ/A4横, 各約6.7MB)→OCR必須のためdifficulty 4。 収集日検索ページ(benrinavi/shushubi/index.html, かな検索kana.html)はdga製汎用検索ツール (cache.dga.jp/search_tool_v3_1.js)でページ内テキストを索引する方式で、CSV/JSONの機械可読データ源は無し。 埼玉県オープンデータ(opendata.pref.saitama.lg.jp datasets/2149)に春日部市の「ゴミの分別方法一覧」CSVは あるが、これは品目分別で収集曜日カレンダーではない(スケジュール用途に不可)。 ごみ分別アプリ「さんあ～る」を市が案内(公開APIは未確認)。 年末年始/1月は変則の注記あり(カレンダーに実日付明示、毎年3月にゴミニケーションカレンダー発行)。 町丁目→収集区の対応表はHTMLに直接無く、かな検索経由で判定する構造(独立検証に利用可)。
"
saitama,11215,sayama,狭山市,142634,,xls,dates,,3,proprietary-site,calendar-explicit,地区,35,https://www.city.sayama.saitama.jp/kurashi/gomi/syusyubunbetsu/2026_seikatsugomi.html,https://www.city.sayama.saitama.jp/kurashi/gomi/syusyubunbetsu/2026_seikatsugomi.files/2026_irumagawa1.4.xls；https://www.city.sayama.saitama.jp/kurashi/gomi/syusyubunbetsu/2026_seikatsugomi.files/2026_irumagawa1.4.pdf,xls；course-pdf,2026-07-17,"2026年度カレンダーを大地区8つに分け、各地区の下に町丁単位で約35のカレンダーを配置。各カレンダーに .xls(真のExcel表, cp932, Last Printed 2026-02) + .pdf を併載。Excelは機械可読だがカレンダー グリッド形式のためパースは要手当。生ごみリサイクル専用バケツ収集は地区別曜日指定。ごみ分別アプリあり。 source_typeはenum外(xls)。CSVは無い。
"
saitama,11216,hanyu,羽生市,52179,,html,partial,true,4,proprietary-site,unknown,町名,19,https://www.city.hanyu.lg.jp/docs/2014021800028/,https://www.city.hanyu.lg.jp/docs/2014021800028/file_contents/gaidoHP.pdf；https://www.city.hanyu.lg.jp/docs/2021022500048/；https://www.city.hanyu.lg.jp/docs/2021022500048/file_contents/R7.pdf,html；booklet；course-pdf,2026-07-17,"最重要の罠: 燃やしてもよいごみ(週3回)・燃やしてはいけないごみ(週1回)の 「曜日」が公式Webに一切出ていない。分別ガイドブックPDF(gaidoHP.pdf, テキスト層あり)は「収集日 毎週__曜日」と空欄様式で、地区×曜日の表は無い。 住所により曜日・集積所が異なるため環境課(048-561-1121)へ電話照会せよ、 との案内。町名別に判るのは資源ごみの日曜(第1・3 / 第2・4)のみでHTML掲載。 粗大ごみは年4回・地区別PDF(R7.pdf)だが実URLはCLIで404、要ブラウザ確認。 CSV/JSON・オープンデータ・収集曜日検索フォームは公式サイトに見当たらず。 第三者サイト(gomi-calendar.info, gomi-calendar.com, zenkoku.mond.jp)が コース別週間カレンダーを掲載しており曜日データ自体は存在するが、 公式一次ソースからは週間曜日を機械可読で取得できない。 燃やすごみの週間曜日を全収録するには電話照会か第三者データ依存が必要で 難易度は実質4〜5。 【統括是正 2026-07-18】granularity は weekday-rules でなく partial (Web で取れるのは資源ごみの日曜のみ、基幹の可燃・不燃が非公開のため)。 【統括 2026-07-18】可燃・不燃の日程が Web に無い (資源のみ) ため core_missing=true → スコアは E 止まり。"
saitama,11217,kounosu,鴻巣市,115442,,pdf,dates,,3,proprietary-site,unknown,コース,5,https://www.city.kounosu.saitama.jp/page/1174.html,https://www.city.kounosu.saitama.jp/uploaded/attachment/25586.pdf；https://www.city.kounosu.saitama.jp/uploaded/attachment/25585.pdf,booklet；app,2026-07-17,"3地域5コース(鴻巣=高崎線東側/西側、吹上=北側/南側、川里=1)。「ごみの早見表」PDF(表=品目別曜日、 裏面=通年収集カレンダー)。R8年度版PDFあり(各1.0MB前後)。PDFテキスト層は未DL・未確認(所沢/ときがわ 同様テキスト層ありの可能性が高いが要確認)。「鴻巣ごみ分別アプリ」あり。分別マニュアルPDF(鴻巣・川里版/ 吹上版)が独立検証源。曜日パターン例(西側): 可燃=月木/不燃=火/プラ=金/びん缶ペット=第2・4水/金属=第1・3水。 年末年始の扱いは未確認。市サイトはCC宣言なし。
"
saitama,11218,fukaya,深谷市,137934,,html,weekday-rules,,3,unknown,calendar-explicit,郵便番号2グループ,2,https://www.city.fukaya.saitama.jp/soshiki/kankyosuido/kankyoeisei/tanto/gomi/1391428524402.html,https://www.city.fukaya.saitama.jp/material/files/group/36/R8gominowakekatadaskata.pdf,official-html-rules；leaflet-image-pdf；smart-lgov-monthly-notice,2026-07-17,"一次ソースは令和8年度「ごみの分け方・出し方」リーフレット(A4両面)＝画像PDF。
pdffonts空・pdftotext 2バイト・pdfimagesは全面JPEG(300dpi)でテキスト層なし=画像PDF。
ただし収集日程は極めてルールベースで、公式HTML「ごみの出しかた」に文字情報として全曜日規則あり
(燃やせるごみ=月火水金/資源物=木/粗大=火/…)、OCRなしで再構成可能なため難易度3と判定。
地区割は郵便番号366始まり=深谷地区、それ以外=岡部・川本・花園地区の2グループのみ。
地区で異なるのは「燃やせないごみ」(深谷=水/岡部等=金、毎月第2週を除く)と
「使用済小型家電」(深谷=第2水/岡部等=第2金)の2品目だけ。他は市内共通。
月次品目の具体日付(小型家電=第2水/金、リチウム蓄電池=第3水、有害ごみ=第3金)はPDFに明示日付リスト
だが第N週ルールで導出可能。
年末年始はリーフレット裏面に明示: 令和8年12/29(火)・12/30(水)は燃やせるごみのみ特別収集、
令和9年1/4(月)より通常収集(=calendar-explicit。fukkachan等でも毎年告知あり)。
ライセンス: 深谷市OD(埼玉県ポータルorg=40)はCC BY 2.1 JPだが収録22件にごみ収集データは無し。
リーフレットはOD公開物ではないため schedule データのライセンスは unknown。
収集曜日検索ツール・CSV/JSONは公式サイトに見当たらず(HTMLに.csv/.json参照なし)。
gomisaku.jp/0135 は分別辞典のみで収集日データなし。nishi.or.jp のごみカレンダーは非公式第三者で信頼性未検証。
curlはPDF 200取得可(403なし)。合併(2006 岡部・川本・花園)は地区名として現存。 【統括是正 2026-07-18】source_type を pdf→html に是正: notes のとおりリーフレットは画像PDF (全数検査でも実測0字) で、機械可読の一次は公式HTMLの曜日規則テキスト。"
saitama,11219,ageo,上尾市,224884,,image-pdf,dates,,4,proprietary-site,unknown,地区,4,https://www.city.ageo.lg.jp/page/423990.html,https://www.city.ageo.lg.jp/uploaded/attachment/119606.pdf；https://www.city.ageo.lg.jp/uploaded/attachment/119607.pdf；https://www.city.ageo.lg.jp/uploaded/attachment/119608.pdf；https://www.city.ageo.lg.jp/uploaded/attachment/119609.pdf,app,2026-07-17,"令和8年7月〜令和9年6月版。市内を4地区(A/B/C/D)に分割、各地区に町名割当あり (A:仲町・愛宕・原市1〜3区・東今泉ほか / B:原市6〜9区・平方・西貝塚ほか / C:上町・柏座・緑丘・本町ほか / D:上・南・久保・菅谷・錦町ほか)。 ただしカレンダーPDF(119606-609, 各1.1MB)は pdftotext でテキスト層ほぼ皆無 (2文字)=画像PDF。地区↔町名の対応は別途「収集区域図」PDF(画像)にあり= 地区割データも機械可読でない。OD・CSV言及なし。年末年始はページに記載なく 毎年別告知型とみられる(未確認でunknown)。上尾市ごみカレンダーアプリあり。 → 収録には画像PDFのOCR/目視転記が必要。難度高い。"
saitama,11221,soka,草加市,251623,,pdf,dates,,3,unknown,december-announce,地区,18,https://www.city.soka.saitama.jp/cont/s1702/010/020/010/PAGE000000000000083921.html,https://www.city.soka.saitama.jp/cont/s1702/010/020/010/R8_01.pdf,app,2026-07-17,"一次候補「令和8年度版草加市ごみ収集カレンダー」。R8_01.pdf(16ページ, Adobe PDF Library製)は テキスト層あり(pdftotext可)。18地区(番号1〜18)に分かれ地区別カレンダーPDFを配布(冊子は町会経由配布)。 草加市ごみ分別アプリあり。年末年始は専用ページ(PAGE...058570)で毎年告知。 収集日オープンデータは未発見。ライセンス表記未確認(市公式サイト)。多言語見出し(中/西)入り。 ※R8_01.pdf が全地区束ねの冊子か個別地区版かは要精査(冒頭は総合表紙)。
"
saitama,11222,koshigaya,越谷市,341344,,html,dates,,2,proprietary-site,december-announce,地区(町丁目を10地区に割当),10,https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/gomi_recycle/gomicalendar/gomishuushuukarenda.html,https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/gomi_recycle/gomicalendar/onsei_calendar/index.html；https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/gomi_recycle/gomicalendar/onsei_calendar/202607chiku01.html；https://www.city.koshigaya.saitama.jp/kurashi_shisei/kurashi/gomi_recycle/gomicalendar/files/R8-01.pdf,course-pdf；audio-html,2026-07-17,一次ソースは「音声対応版ごみ収集カレンダー」のテキストHTML。URLパターンは onsei_calendar/YYYYMMchiku[01-10].html で、地区ごと×月ごとにページ分割 (例 202607chiku01.html)。各ページは「7月2日 木曜 燃えるごみ」形式の日付 ×ごみ種別テキスト表で機械可読。全10地区×各月を巡回する必要あり。地区割は 町丁目単位で10地区に割当(別途「収集地区割り表」PDFで対応)。地区別の正式版 はfiles/R8-0[1-10].pdf(令和8年度、各約9.4MBで画像主体の可能性、検証用)。 埼玉県ODポータル(opendata.pref.saitama.lg.jp/datasets/2084)に越谷市データ あるが「ゴミの分別方法一覧」CSVのみで収集日程は含まず。年末年始の特別扱いは 月次ページに記載なく別途告知と推測(要確認)。CLIでのPDFテキスト層未確認。
saitama,11223,warabi,蕨市,75954,,html,weekday-rules,,2,proprietary-site,december-announce,地区,4,https://www.city.warabi.saitama.jp/kurashi/gomi/shushubi/1001322.html,https://www.city.warabi.saitama.jp/kurashi/gomi/shushubi/1005656.html；https://www.city.warabi.saitama.jp/kurashi/gomi/shushubi/1004345.html,html；course-pdf,2026-07-17,"市内4地区。ごみ収集日ページ(HTML本文)に地区ごとの曜日を記載、素直。乾電池は市内全域毎月第3水共通。 PDF/CSVは無くHTMLのみ。地域別カレンダー(R5世代)は独立検証に使える。粗大ごみは施設管理公社(申込制)。
"
saitama,11224,toda,戸田市,139749,,image-pdf,weekday-rules,,4,proprietary-site,calendar-explicit,地区,,https://www.city.toda.saitama.jp/uploaded/attachment/78679.pdf,https://www.city.toda.saitama.jp/uploaded/attachment/78679.pdf,,2026-07-17,"一次ソースは「令和8年度ごみ収集日一覧表」PDF (78679.pdf, 2ページ 4.3MB)。地区×品目の表だが テキスト層なし (pdftotext で2文字のみ) の画像PDF → OCR必須。公式ごみページ (soshiki/212/kankyo-cl-gomi.html) からリンク。地区割は「地区 (Collection District)」単位だが 地区数はOCRしないと不明のため null。収集日検索フォーム・HTML町名別表・CSV/JSON参照は サイト内に見当たらず。オープンデータ (site/opendata) にごみ収集日データセットは無し (ごみ分別表タグがgomiページを指すのみ)。埼玉県ポータル県共同データセットも対象外。 年末年始: 公式ページに休止日を明示 (11/23勤労感謝の日, 12/31, 1/1, 1/2, 1/3)、 年度版一覧表に反映されるためcalendar-explicit扱い。土日と年末年始以外は祝日も通常収集。 通知は公式LINE (専用アプリではなくLINE通知設定)。CLI curl は 200 で取得可 (403なし)。 他言語版の分け方PDF (中/韓/英/越) や令和8年度分け方PDF(78306) は分別ガイドで日程表ではない。"
saitama,11225,iruma,入間市,139748,collected,csv,dates,,2,PDL-1.0,calendar-explicit,地区,,https://opendata.pref.saitama.lg.jp/resource_download/1494,https://www.city.iruma.saitama.jp/gomi_search/chikubetsu/index.html；https://www.city.iruma.saitama.jp/material/files/group/21/R8wakedasihyou.pdf,site-csv；booklet,2026-07-17,"★最良候補。埼玉県ODポータルに日付入り実カレンダーCSV(resource 1494 / dataset 274)。列=識別情報/ 団体コード/団体名/収集地域/収集分別区分/年月日。DL検証済(398KB, UTF-8, 2026/04/01〜の縦持ち)。 分別区分例=可燃ごみ/不燃ごみ/プラスチックごみ/ビン・缶・ペットボトル・有害ごみ。日付データそのものなので 年末年始も日付で表現(休止日=データ欠落)。ライセンスはポータル標準=PDL1.0(公共データ利用規約、CC-BY互換・ 出典明示要)。カタログ上のリリース2022-10-13だがCSV実体は2026年度日付を含む=更新済。難所は「収集地域」が 「扇台3〜6丁目、久保稲荷3〜5丁目、…、大字扇町屋1217・1219番地」等のフリーテキストで町丁目分割のパースが必要。 地域(コース)のユニーク数は未カウント。社協「パッと見て分かるごみ分別カレンダー」も別途あり。
"
